team_name,team_input,abbreviation,logo
Atlanta Hawks,hawks,ATL,atlanta_hawks_logo.svg
Boston Celtics,celtics,BOS,boston_celtics_logo.svg
Brooklyn Nets,nets,BKN,brooklyn_nets_logo.svg
Charlotte Hornets,hornets,CHA,charlotte_hornets_logo.svg
Chicago Bulls,bulls,CHI,chicago_bulls_logo.svg
Cleveland Cavaliers,cavaliers,CLE,cleveland_cavaliers_logo.svg
Dallas Mavericks,mavericks,DAL,dallas_mavericks_logo.svg
Denver Nuggets,nuggets,DEN,denver_nuggets_logo.svg
Detroit Pistons,pistons,DET,detroit_pistons_logo.svg
Golden State Warriors,warriors,GSW,golden_state_warriors_logo.svg
Houston Rockets,rockets,HOU,houston_rockets_logo.svg
Indiana Pacers,pacers,IND,indiana_pacers_logo.svg
Los Angeles Clippers,clippers,LAC,los_angeles_clippers_logo.svg
Los Angeles Lakers,lakers,LAL,los_angeles_lakers_logo.svg
Memphis Grizzlies,grizzlies,MEM,memphis_grizzlies_logo.svg
Miami Heat,heat,MIA,miami_heat_logo.svg
Milwaukee Bucks,bucks,MIL,milwaukee_bucks_logo.svg
Minnesota Timberwolves,timberwolves,MIN,minnesota_timberwolves_logo.svg
New Orleans Pelicans,pelicans,NOP,new_orleans_pelicans_logo.svg
New York Knicks,knicks,NYK,new_york_knicks_logo.svg
Oklahoma City Thunder,thunder,OKC,oklahoma_city_thunder_logo.svg
Orlando Magic,magic,ORL,orlando_magic_logo.svg
Philadelphia 76ers,76ers,PHI,philadelphia_76ers_logo.svg
Phoenix Suns,suns,PHX,phoenix_suns_logo.svg
Portland Trail Blazers,trail blazers,POR,portland_trail_blazers_logo.svg
Sacramento Kings,kings,SAC,sacramento_kings_logo.svg
San Antonio Spurs,spurs,SAS,san_antonio_spurs_logo.svg
Toronto Raptors,raptors,TOR,toronto_raptors_logo.svg
Utah Jazz,jazz,UTA,utah_jazz_logo.svg
Washington Wizards,wizards,WAS,washington_wizards_logo.svg